,clube_casa_id,clube_visitant_id,clube_casa_nome,clube_visitant_nome,placar_casa,placar_visitante,rodada
88,265,284,Bahia,Grêmio,0.0,2.0,9
89,267,373,Vasco,Atlético-GO,1.0,2.0,9
90,293,294,Athlético-PR,Coritiba,1.0,0.0,10
91,277,276,Santos,São Paulo,2.0,2.0,10
92,266,264,Fluminense,Corinthians,2.0,1.0,10
93,284,356,Grêmio,Fortaleza,1.0,1.0,10
94,282,280,Atlético-MG,Bragantino,2.0,1.0,10
95,265,373,Bahia,Atlético-GO,0.0,1.0,10
96,354,262,Ceará,Flamengo,2.0,0.0,10
97,290,285,Goiás,Internacional,1.0,0.0,10
98,275,292,Palmeiras,Sport,2.0,2.0,10
99,263,267,Botafogo,Vasco,2.0,3.0,10
100,276,293,São Paulo,Athlético-PR,1.0,0.0,11
101,264,265,Corinthians,Bahia,3.0,2.0,11
102,280,354,Bragantino,Ceará,4.0,2.0,11
103,356,285,Fortaleza,Internacional,1.0,0.0,11
104,373,282,Atlético-GO,Atlético-MG,3.0,4.0,11
105,284,275,Grêmio,Palmeiras,1.0,1.0,11
106,294,267,Coritiba,Vasco,1.0,0.0,11
107,263,277,Botafogo,Santos,0.0,0.0,11
108,292,266,Sport,Fluminense,1.0,0.0,11
109,262,290,Flamengo,Goiás,-1.0,-1.0,11
110,292,264,Sport,Corinthians,-1.0,-1.0,12
111,285,276,Internacional,São Paulo,-1.0,-1.0,12
112,293,265,Athlético-PR,Bahia,-1.0,-1.0,12
113,282,284,Atlético-MG,Grêmio,-1.0,-1.0,12
114,267,280,Vasco,Bragantino,-1.0,-1.0,12
115,275,262,Palmeiras,Flamengo,-1.0,-1.0,12
116,354,290,Ceará,Goiás,-1.0,-1.0,12
117,373,263,Atlético-GO,Botafogo,-1.0,-1.0,12
118,277,356,Santos,Fortaleza,-1.0,-1.0,12
119,266,294,Fluminense,Coritiba,-1.0,-1.0,12
120,284,285,Grêmio,Internacional,-1.0,-1.0,13
121,275,354,Palmeiras,Ceará,-1.0,-1.0,13
122,280,264,Bragantino,Corinthians,-1.0,-1.0,13
123,263,266,Botafogo,Fluminense,-1.0,-1.0,13
124,262,293,Flamengo,Athlético-PR,-1.0,-1.0,13
125,294,276,Coritiba,São Paulo,-1.0,-1.0,13
126,265,292,Bahia,Sport,-1.0,-1.0,13
127,356,373,Fortaleza,Atlético-GO,-1.0,-1.0,13
