,apelido,clube_id,clube_nome,jogador_id,posicao_id,posicao_nome,status_id,status_nome,scout,rodada,pontos,preco,variacao,media
87,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",4,0.9,5.16,-0.09,2.77
88,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",5,-0.4,4.71,-0.45,1.98
89,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",6,1.8,5.05,0.34,1.94
90,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",7,0.0,5.05,0.0,1.94
91,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",8,0.0,5.05,0.0,1.94
92,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",9,0.0,5.05,0.0,1.94
93,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",10,4.5,5.47,0.42,2.37
94,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",11,9.5,6.62,1.15,3.39
95,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",12,,,,
96,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},1,0.0,4.0,0.0,0.0
97,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},2,0.0,4.0,0.0,0.0
98,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},3,0.0,4.0,0.0,0.0
99,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},4,0.0,4.0,0.0,0.0
100,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},5,0.0,4.0,0.0,0.0
101,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},6,0.0,4.0,0.0,0.0
102,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},7,0.0,4.0,0.0,0.0
103,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},8,0.0,4.0,0.0,0.0
104,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},9,0.0,4.0,0.0,0.0
105,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},10,0.0,4.0,0.0,0.0
106,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},11,0.0,4.0,0.0,0.0
107,Maurício Kozlinski,373,Atlético-GO,72595,1,Goleiro,6,Nulo,{},12,,,,
108,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",1,5.6,6.96,2.96,5.6
109,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",2,0.0,6.96,0.0,5.6
110,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",3,0.0,6.96,0.0,5.6
111,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",4,0.0,6.96,0.0,5.6
112,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",5,0.0,6.96,0.0,5.6
113,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",6,0.0,6.96,0.0,5.6
114,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",7,0.0,6.96,0.0,5.6
115,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",8,0.0,6.96,0.0,5.6
116,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",9,0.0,6.96,0.0,5.6
117,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",10,0.0,6.96,0.0,5.6
118,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",11,0.0,6.96,0.0,5.6
119,Zé Ivaldo,293,Athlético-PR,91866,3,Zagueiro,6,Nulo,"{'DS': 1, 'PI': 4, 'SG': 1}",12,,,,
120,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",1,0.0,4.0,0.0,0.0
121,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",2,0.5,3.18,-0.82,0.5
122,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",3,0.0,3.18,0.0,0.5
123,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",4,0.9,2.93,-0.25,0.7
124,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",5,0.0,2.93,0.0,0.7
125,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",6,-0.1,2.58,-0.35,0.43
126,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",7,0.0,2.58,0.0,0.43
127,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",8,0.0,2.58,0.0,0.43
128,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",9,3.8,3.25,0.67,1.27
129,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",10,-0.7,2.51,-0.74,0.88
130,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",11,-0.2,2.47,-0.04,0.7
131,Matheus Vargas,373,Atlético-GO,87929,4,Meia,6,Nulo,"{'DS': 3, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PI': 13}",12,,,,
132,Aguilar,293,Athlético-PR,95494,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 8, 'FC': 1, 'FD': 1, 'FF': 1, 'FS': 2, 'GC': 1, 'PI': 6, 'SG': 1}",1,5.4,7.54,2.54,5.4
133,Aguilar,293,Athlético-PR,95494,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 8, 'FC': 1, 'FD': 1, 'FF': 1, 'FS': 2, 'GC': 1, 'PI': 6, 'SG': 1}",2,0.0,7.54,0.0,5.4
